fleet,headway.min,ewt.a,headway.max,buses,line,planned.buses,headway.observed,headway,hcv,ewt.v,simulation.fitness
15.0,1.0,2.091120530249203,20.0,1.0,T31s,4.0,3.7756569103554813,2.2668567069165273,0.8630824277846704,2.2308609958193224,0.8642946082705053
20.0,3.0,1.3062779191930942,20.0,4.0,T31n,3.0,10.764192821951326,10.234781057245442,0.373221229561446,1.4383825013607048,0.4809637714911011
15.0,1.0,1.5898448724680623,20.0,13.0,T31s,4.0,16.357089885925166,14.811635340470618,0.22439941428236868,0.6349098150227369,0.059631594269957094
20.0,3.0,0.9983984783173259,20.0,2.0,T31n,3.0,13.877379988905027,13.03122614275118,0.280394936840736,0.15371027114102082,0.24694242961905918
15.0,1.0,3.2041571089541825,20.0,9.0,T31s,4.0,4.79110796370889,3.608327431954172,0.6681124734841392,15.287104154543654,1.9929364517471913
20.0,3.0,1.4080754978631038,20.0,12.0,T31n,3.0,17.404924498319236,16.204924498319237,0.39971508368463543,0.1923802514940928,0.09296255480250867
15.0,1.0,1.373054128780423,20.0,12.0,T31s,4.0,10.178272250809785,9.799287375854773,0.37246600177170497,0.710050699223642,0.314015775570243
20.0,3.0,2.217198121115648,20.0,2.0,T31n,3.0,13.646610758135795,13.03122614275118,0.49023331188983266,6.331031628368648,0.8694272063708557
15.0,1.0,1.134946304163456,20.0,9.0,T31s,4.0,4.20754462523108,2.8459077087184665,0.6689120166106209,0.15552927659471744,0.5396714503126911
20.0,3.0,1.5767938822745307,20.0,13.0,T31n,3.0,17.16467524671269,16.164675246712694,0.46534467470429275,0.3477772435520553,0.10913827473785226
15.0,1.0,3.527592360211413,20.0,9.0,T31s,4.0,3.353638082967295,1.2880714055636775,1.1832231903160961,7.0040474608122425,1.2550669347397305
20.0,3.0,1.018282712060948,20.0,4.0,T31n,3.0,10.940663410186618,10.234781057245442,0.4565131995689658,0.07838813924453084,0.35282506272045644
15.0,1.0,1.0923220837945276,20.0,13.0,T31s,4.0,20.435072014039925,19.212849791817703,0.21299272231957211,0.15216602057987902,-0.09487226535739546
20.0,3.0,1.1946751374787639,20.0,14.0,T31n,3.0,16.88060892679065,15.062427108608833,0.3772943760959243,0.5645267860216368,0.12620198860862927
15.0,1.0,1.6358448222884423,20.0,10.0,T31s,4.0,4.944718878107364,3.608327431954172,0.6044756352396881,0.033276290258037224,0.47403142687008615
20.0,3.0,1.6248917145601225,20.0,10.0,T31n,3.0,8.397573369722586,7.761209733358949,0.49194142360076143,2.384869948132502,0.6507177579381189
15.0,1.0,0.9909007840975212,20.0,9.0,T31s,4.0,16.89960349855446,15.89960349855446,0.13750559342550372,0.554716049115433,0.12852853648998924
20.0,3.0,1.5274655477285872,20.0,10.0,T31n,3.0,17.595073352311307,16.231436988674943,0.2532438414642328,0.4840530741997578,0.11409718922351447
