"number","fleet","headway.min","planned.buses","headway","ewt.v","simulation.fitness","ewt.a","headway.max","buses","headway.observed","hcv","line"
174,50,180,43,409.890707620146,2554.39114008812,-254.924940285248,62.5238123052816,1200,5,424.042515583444,0.594611983920491,"T31s"
175,50,180,43,610.231485099641,3588.72841389472,-358.477377051507,79.8959901727642,1200,5,629.970019688963,0.512460320919361,"T31s"
176,50,180,43,409.890707620146,2595.2167846933,-259.006540140937,60.7233067830468,1200,5,424.106636327523,0.590590439867415,"T31s"
177,50,180,43,319.164842248764,4135.39364275899,-412.976374038891,66.2444658251467,1200,5,332.052858612023,0.635160300328968,"T31s"
178,50,180,43,610.231485099641,1715.31486190033,-171.213382365767,67.0768608790012,1200,15,628.52345575632,0.509201902610748,"T31s"
179,50,180,43,319.164842248764,3389.11902934974,-338.301128830835,65.1231279646058,1200,1,331.339848914899,0.64863241856676,"T31s"
180,50,180,43,319.164842248764,2317.44645617358,-231.180936473749,60.9380050551744,1200,5,330.591032502486,0.654258413999181,"T31s"
181,50,180,43,319.164842248764,3662.49209601573,-365.769781495383,64.0798274610076,1200,15,329.015805588642,0.66775890163035,"T31s"
182,50,180,43,319.164842248764,3250.34359306494,-324.556845668799,65.7002977510796,1200,15,329.795881958467,0.676913334416819,"T31s"
183,50,180,43,610.231485099641,2554.86980581907,-255.03947350422,71.852947540696,1200,1,629.685353288835,0.503896396037371,"T31s"
184,50,180,43,409.890707620146,2656.60453200508,-265.098252942824,63.370557547378,1200,1,424.236869425369,0.593759722685686,"T31s"
185,50,180,43,319.164842248764,3201.85232772599,-319.572378361078,61.1686205128342,1200,1,330.267192052175,0.647320782510068,"T31s"
186,50,180,43,409.890707620146,2296.39436391176,-229.123954609107,62.4446745078575,1200,5,423.70751605871,0.583765776973256,"T31s"
187,50,180,43,610.231485099641,3193.74012637265,-318.930707340036,76.0917792767614,1200,1,629.651611798913,0.531983240844199,"T31s"
188,50,180,43,610.231485099641,3364.45494671764,-336.000111760739,75.918933576327,1200,1,629.822358512898,0.51077886277702,"T31s"
189,50,180,43,319.164842248764,4488.75293245984,-448.316323390212,71.1738749377134,1200,5,329.567910330638,0.673550091813099,"T31s"
190,50,180,43,319.164842248764,3332.93090802412,-332.809758865534,61.3972464855898,1200,15,329.092945125426,0.637208769352932,"T31s"
191,50,180,43,319.164842248764,3108.7521750861,-310.263793331561,63.3614493086275,1200,1,328.440727852974,0.66505760496421,"T31s"
192,50,180,43,409.890707620146,3019.50798121048,-301.440850150149,69.0254581916258,1200,5,423.0515183642,0.621026753035543,"T31s"
193,50,180,43,409.890707620146,1369.51437754992,-136.383714616387,55.6894697870951,1200,1,423.426962158665,0.568898699729747,"T31s"
194,50,180,43,610.231485099641,5504.60721825871,-550.069827813791,85.3131908259122,1200,5,631.456846256086,0.531360205617423,"T31s"
195,50,180,43,409.890707620146,2283.50532979145,-227.789901830081,64.9993437006622,1200,1,420.210667659118,0.627705061508929,"T31s"
196,50,180,43,319.164842248764,4718.42277106825,-471.361254037835,66.3188626980462,1200,15,328.970583009092,0.644611838014399,"T31s"
197,50,180,43,319.164842248764,3309.29589733398,-330.449943609389,65.3645567225214,1200,15,328.761725209572,0.662790883024588,"T31s"
198,50,180,43,319.164842248764,3628.68457390643,-362.310489816444,69.9902224251594,1200,5,329.297964703226,0.689106331375861,"T31s"
199,50,180,43,409.890707620146,2281.19625013269,-227.692227774313,64.7842968870613,1200,15,425.488505929432,0.61823286995429,"T31s"
200,50,180,43,319.164842248764,1733.70767114795,-172.894813446098,55.8565034630147,1200,17,329.949181656995,0.61434555120212,"T31s"
201,50,180,43,409.890707620146,2903.70582483577,-290.125520159067,68.6876147604149,1200,49,425.438475829658,0.617187080199862,"T31s"
202,50,180,43,319.164842248764,2181.06397242699,-217.540605013273,60.1633041132566,1200,5,329.572038943257,0.642003972059654,"T31s"
203,50,180,43,319.164842248764,2832.3089660373,-282.620892439478,62.749622997077,1200,1,329.546133997726,0.674794764883461,"T31s"
204,50,180,43,319.164842248764,3337.31498711829,-333.171883312054,68.5587186186518,1200,5,330.283794189068,0.671600757993552,"T31s"
205,50,180,43,409.890707620146,1992.58692205713,-198.822939134604,59.8377674157917,1200,15,421.665301240154,0.573652419346992,"T31s"
206,50,180,43,409.890707620146,5073.40502573305,-506.915126562202,74.8739507402884,1200,15,422.121714469031,0.624617624627973,"T31s"
207,50,180,43,319.164842248764,2996.47149881011,-299.03774625958,65.7762905294026,1200,1,331.156008778955,0.66124144966193,"T31s"
208,50,180,43,409.890707620146,2882.78638619211,-287.719623646589,66.445080556467,1200,1,425.927633176223,0.605418494151567,"T31s"
209,50,180,43,409.890707620146,2756.94125563891,-275.180472908428,64.4965059364857,1200,5,424.330428126911,0.591553416299426,"T31s"
210,50,180,43,409.890707620146,2493.49545143629,-248.838147048143,67.9165497021842,1200,5,423.08932715214,0.609999464165263,"T31s"
211,50,180,43,319.164842248764,2741.41465937964,-273.527659937673,62.3735007301188,1200,1,329.332149576364,0.63928887727356,"T31s"
212,50,180,43,319.164842248764,3039.6973734596,-303.499051379402,62.8181057553721,1200,17,330.103834339037,0.642907509969935,"T31s"
213,50,180,43,319.164842248764,2738.67581234385,-273.302678038485,60.4203764538112,1200,5,330.359790104388,0.64540356916632,"T31s"
214,50,180,43,409.890707620146,2533.13486174902,-252.884772188361,64.1701540707112,1200,15,422.974087986261,0.621903230611707,"T31s"
215,50,180,43,409.890707620146,1683.58204936788,-167.791343334722,57.1416592431646,1200,1,424.898215186571,0.564019004028411,"T31s"
216,50,180,43,409.890707620146,3504.40200408462,-349.880350860216,68.2847487740424,1200,1,423.204795787196,0.606957201039086,"T31s"
217,50,180,43,409.890707620146,4134.16025470992,-412.857213437153,70.6745647577753,1200,1,422.419887537952,0.613983399178644,"T31s"
218,50,180,43,409.890707620146,2466.78574447334,-246.167022722805,68.8912284672633,1200,5,423.387900123603,0.603457932916084,"T31s"
219,50,180,43,319.164842248764,2926.86785680519,-292.075889990793,63.4590551139001,1200,1,331.266715983255,0.653393665912982,"T31s"
220,50,180,43,409.890707620146,3819.05751788143,-381.346016612133,70.2883624435584,1200,1,421.109482790456,0.613747581738508,"T31s"
221,50,180,43,409.890707620146,2173.76979537598,-216.81458787839,63.6418698759811,1200,1,422.501372950425,0.601150135805791,"T31s"
222,50,180,43,319.164842248764,6871.27453550443,-686.521869557156,76.961102048627,1200,1,328.965226025899,0.675041983415278,"T31s"
223,50,180,43,409.890707620146,2573.8818479625,-256.825828793961,64.6356718736597,1200,1,424.34243914143,0.587364230554258,"T31s"
224,50,180,43,610.231485099641,4441.76895368021,-443.734224926401,81.867256835691,1200,1,627.548732069232,0.531450085829494,"T31s"
225,50,180,43,610.231485099641,2900.34711522437,-289.591031391763,74.4882617400311,1200,1,631.829772417595,0.520767255328079,"T31s"
226,50,180,43,319.164842248764,3182.40021293337,-317.67644611945,63.692738812117,1200,5,328.458931701497,0.658957434788821,"T31s"
227,50,180,43,319.164842248764,1853.29184370401,-184.846001812111,57.3210199240154,1200,15,331.385639505149,0.638803539576717,"T31s"
228,50,180,43,319.164842248764,4043.91297594025,-403.928345266416,69.6094102812129,1200,17,330.292901082394,0.696494060389183,"T31s"
229,50,180,43,409.890707620146,2322.59049575966,-231.840279898138,63.7557159926111,1200,17,424.742585192776,0.602246495378862,"T31s"
230,50,180,43,319.164842248764,2168.57024770116,-216.29149581926,59.985861950752,1200,5,330.391013215209,0.640410735928036,"T31s"
231,50,180,43,319.164842248764,3314.72492331984,-330.858353566924,59.9738060360395,1200,1,331.10965280052,0.633504310573208,"T31s"
232,50,180,43,319.164842248764,3480.41329878846,-347.48228549322,69.1799044911789,1200,5,329.910020838052,0.677438946673986,"T31s"
233,50,180,43,610.231485099641,3068.22552480165,-306.381980557776,78.3573493160195,1200,1,637.007055371975,0.508497773982825,"T31s"
234,50,180,43,319.164842248764,5573.58181899289,-556.751843427294,72.2147977411252,1200,1,330.511121297813,0.674224709093545,"T31s"
235,50,180,43,319.164842248764,3077.9445934972,-307.326101756409,65.024007810587,1200,17,330.235820433481,0.658061846792752,"T31s"
236,50,180,43,319.164842248764,3215.16194041443,-321.04504931762,61.811340779024,1200,17,330.901763156284,0.636982121646151,"T31s"
237,50,180,43,409.890707620146,3103.20407560124,-309.90176931666,68.2058868758835,1200,17,423.339679534615,0.596979322289863,"T31s"
238,50,180,43,409.890707620146,2418.9395236683,-241.331496521485,61.8255474008805,1200,1,426.681493361006,0.581973739095463,"T31s"
