generation,fitness
221,-2055.2952697157557
222,-2075.029287169982
223,-2075.029287169982
224,-1819.3056188290818
225,-1428.3612621143143
226,-1373.6853512491452
227,-1606.6752542851796
228,-1606.6752542851796
229,-1606.6752542851796
230,-1606.6752542851796
231,-1606.6752542851796
232,-1606.6752542851796
233,-1606.6752542851796
234,-1547.518250813669
235,-1547.518250813669
236,-1547.518250813669
237,-1412.7543581075945
238,-1412.7543581075945
239,-1547.518250813669
240,-1547.518250813669
241,-1547.518250813669
242,-1547.518250813669
243,-1547.518250813669
244,-1547.518250813669
245,-2208.354325282612
246,-2218.0087861741204
247,-2218.0087861741204
248,-2009.0772450262975
249,-1213.435526484344
250,-1213.435526484344
251,-1213.435526484344
252,-1213.435526484344
253,-1213.435526484344
254,-1213.435526484344
255,-1213.435526484344
256,-1213.435526484344
257,-1213.435526484344
258,-1701.7602287175314
259,-1701.7602287175314
260,-1701.7602287175314
261,-1701.7602287175314
262,-1701.7602287175314
263,-1701.7602287175314
264,-1494.781441451902
265,-1494.781441451902
266,-1494.781441451902
267,-1494.781441451902
268,-1494.781441451902
269,-1494.781441451902
270,-1494.781441451902
271,-1448.8493598410475
272,-1543.2079130889058
273,-1543.2079130889058
274,-1543.2079130889058
275,-1543.2079130889058
276,-1543.2079130889058
277,-1543.2079130889058
278,-1543.2079130889058
279,-1543.2079130889058
280,-1543.2079130889058
281,-1543.2079130889058
282,-1341.8877342581509
283,-1341.8877342581509
284,-1460.9585025607073
285,-1460.9585025607073
286,-1460.9585025607073
287,-1388.050908464779
288,-1450.420223145717
289,-1450.420223145717
290,-1450.420223145717
291,-1450.420223145717
292,-1231.769018992004
293,-1328.0312438545811
294,-1918.165923006458
295,-1918.165923006458
296,-1918.165923006458
297,-1918.165923006458
298,-1918.165923006458
299,-1918.165923006458
300,-1605.2520682109885
301,-1605.2520682109885
302,-1918.165923006458
303,-1765.5025547899752
304,-1765.5025547899752
305,-1765.5025547899752
306,-2031.2946572878818
307,-2031.2946572878818
308,-2157.3761101926134
309,-2290.1752652573605
310,-1901.9561708864494
311,-1940.4988261767026
312,-1940.4988261767026
313,-1940.4988261767026
314,-1746.9777118045172
315,-1746.9777118045172
316,-1746.9777118045172
317,-1746.9777118045172
318,-1877.2103940880504
319,-1994.2566823641748
320,-1994.2566823641748
321,-1994.2566823641748
322,-2203.8545862113397
323,-2203.8545862113397
324,-2116.3589357191645
325,-1822.7969502819014
326,-1936.4685324269674
327,-1525.6610141572273
328,-2072.459993740488
329,-2072.459993740488
330,-2072.459993740488
331,-2051.268750760929
332,-2303.966922641696
333,-2303.966922641696
334,-1836.9072110526408
335,-1545.1164670962878
336,-1545.1164670962878
337,-1485.0469877311457
338,-1545.1164670962878
339,-1479.91470693396
340,-1479.91470693396
341,-1545.1164670962878
342,-1545.1164670962878
343,-1545.1164670962878
344,-1663.5990650762992
345,-1663.5990650762992
346,-1663.5990650762992
347,-1663.5990650762992
348,-1663.5990650762992
349,-1761.3866083971693
350,-1761.3866083971693
351,-2103.1772600375766
352,-2334.6790651614256
353,-2302.758022679268
354,-1750.4497909686445
355,-1698.2515230134536
356,-1698.2515230134536
357,-1698.2515230134536
358,-1698.2515230134536
359,-1616.6723701295984
360,-1750.4497909686445
361,-1750.4497909686445
362,-1758.3742970165272
363,-1761.9338890441566
364,-1761.9338890441566
365,-1761.9338890441566
366,-1761.9338890441566
367,-1761.9338890441566
368,-1740.7033557631275
369,-1740.7033557631275
370,-1740.7033557631275
371,-1740.7033557631275
372,-1740.7033557631275
373,-1528.4549477180663
374,-1827.2710811788686
375,-1827.2710811788686
376,-1212.0884285453087
377,-1325.0296755269198
378,-1760.1477828254083
379,-1760.1477828254083
380,-1760.1477828254083
381,-2240.2221332376603
382,-1945.7148259088538
383,-2315.3926338115803
384,-2380.070787465616
385,-2362.066018723788
386,-2124.5906320715308
387,-1415.0613933563448
388,-2390.6825277679354
389,-1917.5168251297064
390,-1518.019300738146
391,-1518.019300738146
392,-1518.019300738146
393,-1518.019300738146
394,-1518.019300738146
395,-1518.019300738146
396,-1518.019300738146
397,-1740.5970802302936
398,-1525.163122455503
399,-1525.163122455503
400,-1835.358518131978
401,-2163.114655469643
402,-1871.1186294601223
403,-2048.485645810206
404,-2048.485645810206
405,-2048.485645810206
406,-2048.485645810206
407,-2048.485645810206
408,-2048.485645810206
409,-2048.485645810206
410,-2048.485645810206
411,-2048.485645810206
412,-2048.485645810206
413,-2048.485645810206
414,-1599.223511516165
415,-1599.223511516165
416,-1599.223511516165
417,-1599.223511516165
418,-1599.223511516165
419,-1599.223511516165
420,-1599.223511516165
421,-1599.223511516165
422,-2331.013696985708
423,-2331.013696985708
424,-2331.013696985708
425,-2331.013696985708
426,-2331.013696985708
427,-1788.0750029249043
428,-1788.0750029249043
429,-2111.557947400494
430,-2111.557947400494
431,-2111.557947400494
432,-2111.557947400494
433,-2101.789354677998
434,-1699.363783989793
435,-2091.3683324564818
436,-2091.3683324564818
437,-1958.994753678408
438,-1958.994753678408
439,-1958.994753678408
440,-1958.994753678408
441,-1958.994753678408
442,-1958.994753678408
443,-1958.994753678408
444,-1452.8984636714968
445,-1452.8984636714968
446,-1452.8984636714968
447,-1452.8984636714968
448,-1452.8984636714968
449,-1452.8984636714968
450,-1452.8984636714968
451,-1350.5243736757998
452,-1350.5243736757998
453,-1350.5243736757998
454,-1350.5243736757998
455,-1350.5243736757998
456,-1350.5243736757998
457,-1452.8984636714968
458,-1724.345367699039
459,-1474.0151067164402
460,-1724.345367699039
461,-1942.8310829645532
462,-1609.0546568728876
463,-2234.7829676700876
464,-1297.4740528487594
465,-1297.4740528487594
466,-1297.4740528487594
467,-1297.4740528487594
468,-1297.4740528487594
469,-1297.4740528487594
470,-1297.4740528487594
471,-1297.4740528487594
472,-1297.4740528487594
473,-1297.4740528487594
474,-1297.4740528487594
475,-1297.4740528487594
476,-1297.4740528487594
477,-1297.4740528487594
478,-1181.2910277872368
479,-1297.4740528487594
480,-1297.4740528487594
481,-1297.4740528487594
482,-1297.4740528487594
483,-1297.4740528487594
484,-1297.4740528487594
485,-1297.4740528487594
486,-1297.4740528487594
487,-1297.4740528487594
488,-1798.7927785595587
489,-1895.7250483334315
490,-1895.7250483334315
491,-1895.7250483334315
492,-1895.7250483334315
493,-1895.7250483334315
494,-1673.8894658783163
495,-1673.8894658783163
496,-1876.0459676707605
497,-1740.1488011957015
498,-1979.232313662376
499,-1979.232313662376
500,-1837.5321143898786
501,-1747.983143748264
502,-1747.983143748264
503,-1747.983143748264
504,-1528.1903916655183
505,-1611.3438149029546
506,-1611.3438149029546
507,-1611.3438149029546
508,-1611.3438149029546
509,-1611.3438149029546
510,-1611.3438149029546
511,-1766.5828638625378
512,-1082.7773303442598
513,-1082.7773303442598
514,-1082.7773303442598
515,-1082.7773303442598
516,-2392.66632911132
517,-2375.201173113307
518,-2109.830933286791
519,-2718.821547593123
520,-2718.821547593123
521,-1991.0856235156812
522,-1991.0856235156812
523,-1646.5480897555142
524,-1646.5480897555142
525,-1079.674723204484
526,-1079.674723204484
527,-1079.674723204484
528,-1079.674723204484
529,-1079.674723204484
530,-1079.674723204484
531,-1079.674723204484
532,-1079.674723204484
533,-1079.674723204484
534,-1079.674723204484
535,-1079.674723204484
536,-1079.674723204484
537,-1494.6459541996965
538,-1494.6459541996965
539,-1494.6459541996965
540,-1494.6459541996965
541,-1494.6459541996965
542,-1321.3794807043794
543,-1321.3794807043794
544,-1321.3794807043794
545,-1321.3794807043794
546,-1321.3794807043794
547,-1321.3794807043794
548,-1321.3794807043794
549,-1321.3794807043794
550,-1875.6773934436983
551,-1875.6773934436983
552,-1362.1978111937406
553,-1692.0542626221131
554,-1571.4270640220814
555,-1571.4270640220814
556,-1571.4270640220814
557,-1571.4270640220814
558,-1571.4270640220814
559,-1571.4270640220814
560,-1571.4270640220814
561,-1945.3417608316522
562,-1945.3417608316522
563,-1945.3417608316522
564,-2196.110647702874
565,-1628.6237500893255
566,-1628.6237500893255
567,-1628.6237500893255
568,-1628.6237500893255
569,-1504.283305267461
570,-1504.283305267461
571,-1628.6237500893255
572,-1606.109790791143
573,-1606.109790791143
574,-1606.109790791143
575,-1606.109790791143
576,-1606.109790791143
577,-1606.109790791143
578,-1602.128012096894
579,-1602.128012096894
580,-1602.128012096894
581,-1602.128012096894
582,-1602.128012096894
583,-1606.109790791143
584,-1606.109790791143
585,-951.3792769146621
586,-951.3792769146621
587,-951.3792769146621
588,-951.3792769146621
589,-1257.5985387398775
590,-1257.5985387398775
591,-1257.5985387398775
592,-1965.7092572761776
593,-1965.7092572761776
594,-1965.7092572761776
595,-1965.7092572761776
596,-1965.7092572761776
597,-1965.7092572761776
598,-1965.7092572761776
599,-1965.7092572761776
600,-1965.7092572761776
601,-1965.7092572761776
602,-1420.5592324316758
603,-2134.33063874703
604,-2134.33063874703
605,-2134.33063874703
606,-2134.33063874703
607,-2134.33063874703
608,-2134.33063874703
609,-1456.3321439799784
610,-1456.3321439799784
611,-1619.8229088012697
612,-1619.8229088012697
613,-1619.8229088012697
614,-1619.8229088012697
615,-1619.8229088012697
616,-1619.8229088012697
617,-2006.2881338817845
618,-2006.2881338817845
619,-2006.2881338817845
620,-1859.431706176151
621,-1669.6292602022822
622,-1669.6292602022822
623,-1845.452591435661
624,-1825.3398531467712
625,-1368.2485688983375
626,-1368.2485688983375
627,-1845.452591435661
628,-1708.0148213669775
629,-1845.452591435661
630,-1671.279055889282
631,-1671.279055889282
632,-1671.279055889282
633,-1671.279055889282
634,-1321.6175330023032
635,-1321.6175330023032
636,-1321.6175330023032
637,-1321.6175330023032
638,-1321.6175330023032
639,-1321.6175330023032
640,-1321.6175330023032
641,-1321.6175330023032
642,-1321.6175330023032
643,-1321.6175330023032
644,-1321.6175330023032
645,-1321.6175330023032
646,-1321.6175330023032
647,-1321.6175330023032
648,-1321.6175330023032
649,-1321.6175330023032
650,-1320.7122730212282
651,-1320.7122730212282
652,-1320.7122730212282
653,-1320.7122730212282
654,-1262.450932306058
655,-1262.450932306058
656,-1320.7122730212282
657,-1320.7122730212282
658,-1320.7122730212282
659,-1320.7122730212282
660,-1320.7122730212282
661,-1320.7122730212282
662,-1320.7122730212282
663,-1320.7122730212282
664,-1320.7122730212282
665,-1320.7122730212282
666,-1320.7122730212282
667,-1320.7122730212282
668,-1039.079314027216
669,-1039.079314027216
670,-1039.079314027216
671,-1320.7122730212282
672,-1320.7122730212282
673,-1320.7122730212282
674,-1320.7122730212282
675,-1320.7122730212282
676,-1320.7122730212282
677,-1320.7122730212282
678,-1320.7122730212282
679,-1320.7122730212282
680,-1320.7122730212282
681,-1320.7122730212282
682,-1320.7122730212282
683,-1320.7122730212282
684,-1570.5662075168502
685,-1570.5662075168502
686,-1758.2943906506698
687,-1789.5099728189048
688,-1789.5099728189048
689,-1789.5099728189048
690,-1121.6295533903713
691,-1121.6295533903713
692,-1121.6295533903713
693,-1121.6295533903713
694,-1121.6295533903713
695,-1121.6295533903713
696,-1830.8086509639227
697,-1799.2314311904402
698,-1830.8086509639227
699,-1830.8086509639227
700,-1830.8086509639227
701,-1697.4781029020205
702,-1697.4781029020205
703,-1697.4781029020205
704,-1916.2187708656077
705,-1425.4164976472057
706,-1425.4164976472057
707,-1425.4164976472057
708,-1425.4164976472057
709,-1425.4164976472057
710,-1425.4164976472057
711,-1425.4164976472057
712,-1425.4164976472057
713,-1425.4164976472057
714,-1425.4164976472057
715,-1425.4164976472057
716,-1425.4164976472057
717,-1425.4164976472057
718,-1425.4164976472057
719,-1425.4164976472057
720,-1414.5361928283962
721,-1425.4164976472057
722,-1425.4164976472057
723,-1425.4164976472057
724,-1425.4164976472057
725,-1425.4164976472057
726,-1425.4164976472057
727,-1425.4164976472057
728,-1425.4164976472057
729,-1425.4164976472057
730,-1425.4164976472057
731,-1425.4164976472057
732,-1432.2021584020918
733,-1432.2021584020918
734,-1432.2021584020918
735,-1551.8068612310637
736,-1551.8068612310637
737,-1551.8068612310637
738,-1945.5232183390835
739,-1916.9799475663003
740,-1899.2349426762114
741,-1945.5232183390835
742,-2202.382891830188
743,-2202.382891830188
744,-1768.855959427176
745,-1768.855959427176
746,-1768.855959427176
747,-1768.855959427176
748,-1768.855959427176
749,-1768.855959427176
