fleet,headway.min,replica,line,planned.buses,headway,ewt.v,simulation.fitness,number,ewt.a,headway.max,buses,headway.observed,hcv
50.0,180.0,4,T31s,43.0,583.2279515372145,1735.6379032922916,-173.1619622922332,12,69.51105460861675,1200.0,6.0,602.574871703649,0.5384586917255034
50.0,180.0,5,T31s,43.0,583.2279515372145,2520.0544963116527,-251.60977193527947,12,79.34021854481557,1200.0,6.0,594.3842461310512,0.6153783734668324
50.0,180.0,6,T31s,43.0,583.2279515372145,3681.5410334282983,-367.76885047675216,12,86.71298098111762,1200.0,6.0,616.9747184593425,0.5621656654172862
50.0,180.0,7,T31s,43.0,583.2279515372145,3905.87603224586,-390.1987341404675,12,95.19321762807398,1200.0,6.0,599.9167877582524,0.598076798348842
50.0,180.0,8,T31s,43.0,583.2279515372145,1833.7039084548005,-182.97086125831981,12,75.19866103663155,1200.0,6.0,597.0199044402124,0.5751607800090656
50.0,180.0,9,T31s,43.0,583.2279515372145,2178.005471431878,-217.4040757467598,12,74.82644863762478,1200.0,6.0,603.337881642424,0.5698188235504528
50.0,180.0,10,T31s,43.0,583.2279515372145,5560.6393476216745,-555.6806776338519,12,96.93816226537457,1200.0,6.0,602.0709959528133,0.6357080613453083
50.0,180.0,1,T31s,43.0,843.2733070134675,6409.644725891421,-640.8669025129325,13,115.2678649223891,1200.0,45.0,872.1172017587616,0.5221481337700502
50.0,180.0,2,T31s,43.0,843.2733070134675,2523.4592231271995,-252.24251909704157,13,89.0526618664439,1200.0,45.0,877.4203431329665,0.5200058000095688
50.0,180.0,3,T31s,43.0,843.2733070134675,1587.4644822060159,-158.6231227977735,13,76.39344172665858,1200.0,45.0,871.833963119277,0.3958421878826315
50.0,180.0,4,T31s,43.0,843.2733070134675,2466.907034910335,-246.5757812191556,13,78.89891379392417,1200.0,45.0,878.204240808035,0.4340499021280922
50.0,180.0,5,T31s,43.0,843.2733070134675,6475.79927716128,-647.4928008003905,13,117.56962702692346,1200.0,45.0,858.7074037773046,0.6977883627397224
50.0,180.0,6,T31s,43.0,843.2733070134675,1254.979404292304,-125.38001362964178,13,73.27009447570994,1200.0,45.0,869.811494871332,0.47213644982692327
50.0,180.0,7,T31s,43.0,843.2733070134675,6005.791249392542,-600.467062177616,13,96.34720288159173,1200.0,45.0,870.5301428548547,0.4496257935638507
50.0,180.0,8,T31s,43.0,843.2733070134675,3141.3957195872927,-314.0262848968113,13,98.89608222699226,1200.0,45.0,853.4243882880522,0.5295086119702409
50.0,180.0,9,T31s,43.0,843.2733070134675,1831.5512723898753,-183.04854903481242,13,84.40935503344018,1200.0,45.0,878.0183544109336,0.5002158910857545
50.0,180.0,10,T31s,43.0,843.2733070134675,5049.682796614414,-504.8834070414433,13,111.69711602070572,1200.0,45.0,882.6226063347596,0.5992286947190605
50.0,180.0,1,T31s,43.0,215.18528410611555,7555.864771009255,-755.0609688222958,14,78.9948171828521,1200.0,16.0,227.88286720185678,0.6950634470107373
50.0,180.0,2,T31s,43.0,215.18528410611555,17585.31688431566,-1758.0260049190067,14,109.96144544729849,1200.0,16.0,220.69626083201544,0.8323631686150371
50.0,180.0,3,T31s,43.0,215.18528410611555,2485.9173801156976,-248.07267023298743,14,64.14742456470059,1200.0,16.0,235.26290128139198,0.7655477910391075
50.0,180.0,4,T31s,43.0,215.18528410611555,2189.30826888148,-218.40969127220646,14,65.23928718935011,1200.0,16.0,231.0574795869945,0.7659676500373052
50.0,180.0,5,T31s,43.0,215.18528410611555,5915.199245441694,-591.0080976366387,14,85.05139254817635,1200.0,16.0,227.27897193288865,0.8152408985625463
50.0,180.0,6,T31s,43.0,215.18528410611555,1523.1419099952295,-151.78975757721642,14,52.33973579115613,1200.0,16.0,228.9487060792069,0.7883926410940275
50.0,180.0,7,T31s,43.0,215.18528410611555,4678.458451039037,-467.3345704277408,14,75.85059094959973,1200.0,16.0,240.58747675938238,0.7731472283936152
50.0,180.0,8,T31s,43.0,215.18528410611555,1304.7907484285965,-129.9520781248203,14,49.92848950075423,1200.0,16.0,235.1860626479643,0.7341068386433386
50.0,180.0,9,T31s,43.0,215.18528410611555,5040.404981934507,-503.52454351709054,14,75.18076320944395,1200.0,16.0,228.53973144232043,0.799449075654565
50.0,180.0,10,T31s,43.0,215.18528410611555,4104.007878582287,-409.87864118161684,14,70.71737020243648,1200.0,16.0,223.1649687207649,0.7840233011310623
50.0,180.0,1,T31s,43.0,1036.312598390684,864.3635161723064,-86.29854138749714,15,71.1208610721713,1200.0,6.0,1086.1887602111033,0.3284831633492102
50.0,180.0,2,T31s,43.0,1036.312598390684,11081.697494562748,-1108.0769018244098,15,144.55441741521105,1200.0,6.0,1090.1095721050654,0.5102670215143998
50.0,180.0,3,T31s,43.0,1036.312598390684,14958.154666865223,-1495.7044298294284,15,125.6383238841106,1200.0,6.0,1064.7569636279866,0.5405614053693955
50.0,180.0,4,T31s,43.0,1036.312598390684,3177.8954538178346,-317.65786718545667,15,92.32357283873081,1200.0,6.0,1065.45500050176,0.4410910839356207
50.0,180.0,5,T31s,43.0,1036.312598390684,4581.239243828764,-458.02098333953563,15,119.00956622916081,1200.0,6.0,1099.5981246353117,0.4386673958259941
50.0,180.0,6,T31s,43.0,1036.312598390684,4176.097379863956,-417.4978146242068,15,117.19450422398583,1200.0,6.0,1069.8467934953455,0.5299022442643544
50.0,180.0,7,T31s,43.0,1036.312598390684,3684.9824988596924,-368.40286536997854,15,110.6749321899478,1200.0,6.0,1099.570404778799,0.5421778407711236
50.0,180.0,8,T31s,43.0,1036.312598390684,5039.5942293860135,-503.83676475713014,15,104.99222770337275,1200.0,6.0,1076.396817534066,0.42469875334067564
50.0,180.0,9,T31s,43.0,1036.312598390684,12545.28893305007,-1254.4432175642519,15,164.69146108749564,1200.0,6.0,1074.147882089853,0.6087547479140664
50.0,180.0,10,T31s,43.0,1036.312598390684,1097.3606520093592,-109.60021380735859,15,78.109442140283,1200.0,6.0,1069.8437403530745,0.420923430319231
50.0,180.0,1,T31s,43.0,1111.1080538613996,3179.3543764560127,-317.9868141065945,16,97.24172813135134,1200.0,33.0,1154.8039451454365,0.48063968016218817
50.0,180.0,2,T31s,43.0,1111.1080538613996,4743.865124818971,-474.42489600185286,16,114.85042017064825,1200.0,33.0,1132.4923265314592,0.4232594450320422
50.0,180.0,3,T31s,43.0,1111.1080538613996,3786.8569651151965,-378.7417744460942,16,114.21526783560608,1200.0,33.0,1153.5708030397918,0.4783297273858786
50.0,180.0,4,T31s,43.0,1111.1080538613996,7793.256542966906,-779.3819140454069,16,119.85698303907105,1200.0,33.0,1152.8991731117246,0.46529291574156206
50.0,180.0,5,T31s,43.0,1111.1080538613996,180.11093002277636,-18.008208477527802,16,61.36338193381755,1200.0,33.0,1129.8309690564458,0.20452416940309484
50.0,180.0,6,T31s,43.0,1111.1080538613996,1738.8198664768634,-173.92470008761688,16,88.76537413521831,1200.0,33.0,1157.7788556603814,0.40476450923772206
50.0,180.0,7,T31s,43.0,1111.1080538613996,4868.822589587942,-486.92956445914865,16,101.54497019114902,1200.0,33.0,1157.8057804280697,0.40792807897007455
